region,ubs_records,municipalities,population_2022,area_km2,valid_coordinate_records,missing_coordinate_records,share_pct,ubs_per_10k_population,ubs_per_1000_km2,coordinate_validity_pct
Nordeste,18125,1783,54655677,1552175.417,17588,537,37.98675441170307,3.316215440895554,11.67715955393204,97.03724137931034
Sudeste,15274,1653,84840113,924558.341,14380,894,32.011568931550485,1.8003276351128858,16.520320376407703,94.1469163284012
Sul,6764,1143,29936946,576736.818,6473,291,14.176132791214318,2.2594155061775507,11.728053054521656,95.69781194559432
Norte,3971,440,17354479,3850593.196,3891,80,8.322504925179192,2.288170102945758,1.0312696766111462,97.98539410727776
Centro-Oeste,3580,464,16289389,1606354.086,3450,130,7.503038940352937,2.1977497130187023,2.2286493564532823,96.36871508379888
