uf,pharmacies,valid_coordinates,municipalities
SP,5652,0,632
MG,4997,0,823
RS,2705,0,465
PR,2599,0,383
GO,1819,0,230
RJ,1799,0,92
SC,1718,0,279
BA,1020,0,368
ES,867,0,78
PE,582,0,177
PB,563,0,212
CE,554,0,178
RN,515,0,154
DF,419,0,1
MT,363,0,111
MA,323,0,153
MS,309,0,72
PI,302,0,156
PA,263,0,102
AL,225,0,94
TO,173,0,83
RO,172,0,47
SE,148,0,57
AM,68,0,21
RR,30,0,7
AP,20,0,5
AC,20,0,10
