ibge_municipio_7,phase5_population_origins,phase5_origin_granularity,phase5_origin_population,phase5_population_covered_by_distances,phase5_population_origin_coverage_ratio,phase5_distance_coverage_ratio,phase5_weighted_mean_ubs_km,phase5_weighted_p50_ubs_km,phase5_weighted_p90_ubs_km,phase5_weighted_mean_pharmacy_km,phase5_weighted_p50_pharmacy_km,phase5_weighted_p90_pharmacy_km,phase5_population_share_ubs_gt_5km,phase5_population_share_pharmacy_le_2km,phase5_population_share_hard_ubs_easy_pharmacy,phase5_population_per_active_ubs,phase5_population_per_physician_fte,phase5_population_per_pfpb_pharmacy,phase5_precision_status,phase5_access_evidence_grade
1100015,85,census_sector,21494.0,21494.0,1.0,1.0,12.104559050806978,0.7602344567007658,36.96348359601767,32.58889975394069,24.384240467806425,49.51219566036257,0.36652088955057227,0.0,0.0,5373.5,3137.8102189781025,5373.5,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100023,169,census_sector,96833.0,96833.0,1.0,1.0,2.450729060326486,0.7135679472030867,9.406371548698859,122.89998389706264,123.72585281485358,126.23693972820965,0.12199353526173928,0.0,0.0,6052.0625,2912.2706766917295,9683.3,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100031,20,census_sector,5351.0,5351.0,1.0,1.0,4.658547071737924,0.8530783781813833,14.246839611833177,37.41014185639407,40.433193890257485,41.74053751572796,0.3122780788637638,0.0,0.0,1783.6666666666667,1070.2,2675.5,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100049,187,census_sector,86887.0,86887.0,1.0,1.0,2.6468296614022733,0.7712895298540028,10.725082406032675,57.907329051709674,57.368528845035165,63.48571935783643,0.16781566862706734,0.0,0.0,6683.615384615385,2798.29307568438,3949.409090909091,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100056,34,census_sector,15890.0,15890.0,1.0,1.0,1.6324893067092732,0.6112384407743198,3.585056245859753,2.1603995915076184,1.1083692270553867,4.823875151094202,0.09150409062303336,0.8883574575204531,0.0,3972.5,1765.5555555555557,5296.666666666667,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100064,50,census_sector,15663.0,15663.0,1.0,1.0,3.0273634598978214,0.5823723676809299,11.285481582876692,3.895153693905954,1.3043485878956584,12.49827360180072,0.22122198812488028,0.6994190129604801,0.0,3132.6,1546.962962962963,3915.75,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100072,23,census_sector,7519.0,7519.0,1.0,1.0,8.94974281098583,7.6677914951882045,18.52662940547793,29.062595565282837,25.59320905810664,39.02825095924534,0.8632796914483309,0.0,0.0,1879.75,1367.090909090909,3759.5,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100080,33,census_sector,12627.0,12627.0,1.0,1.0,7.101822753172029,0.8747519969254064,21.663137725798855,212.28790418079384,222.3675630338565,223.78490216694033,0.342519996832185,0.0,0.0,4209.0,1661.4473684210527,4209.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100098,80,census_sector,29414.0,29414.0,1.0,1.0,7.4509497912284886,0.7665675142830988,31.810596940680927,57.832520474207556,59.84008249921079,62.83599477785105,0.25552458013191,0.0,0.0,4902.333333333333,2440.9958506224066,14707.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
1100106,133,census_sector,39387.0,39387.0,1.0,1.0,12.463766038138317,1.0333216113250625,54.365966481688865,52.17532769508242,40.91843546245965,90.49374610258462,0.21710208952192347,0.0,0.0,4376.333333333333,2500.7619047619046,13129.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
